location,price,beds,baths,house_size,land_size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
31,59500000,7,5,5200,12.5,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
9,22500000,5,3,2400,18.5,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
19,230000000,4,2,1890.4,19.5,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0
1,24800000,4,4,2500,7,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
11,21500000,4,3,2200,6.5,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
31,45000000,5,5,2400,10.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
11,32500000,4,4,3200,10,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
17,22500000,4,3,1883,5.5,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
9,31000000,4,5,4000,10,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0
9,8300000,2,1,1600,12,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
17,19000000,3,3,2400,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,11800000,3,3,1500,8,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
17,11000000,3,3,1300,6.5,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
18,85000000,4,2,5521,37,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
17,18000000,4,4,2200,7,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,23000000,4,4,2800,9,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,21000000,4,4,2450,7,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
22,28800000,6,5,3300,8.2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0
24,45000000,3,2,3500,14.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
10,25000000,2,2,800,6.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
