location,price,beds,baths,house_size,land_size
Malabe,21500000,4,3,2200,6.5
Piliyandala,24000000,5,4,3600,11.5
Piliyandala,21500000,5,3,3500,24
Pannipitiya,8800000,4,2,1300,8
Moratuwa,17500000,5,4,2600,10.5
Athurugiriya,8000000,3,2,1000,6.8
Battaramulla,36000000,4,4,3500,7.75
Battaramulla,45000000,5,5,3150,7.5
Battaramulla,26500000,4,3,2500,7.8
Kotte,37000000,5,5,3750,9.4
Mount Lavinia,72000000,3,3,4100,6
Nugegoda,32000000,4,3,2500,8
Nugegoda,29500000,3,3,2800,8.7
Kohuwala,36000000,4,3,2500,8
Dehiwala,75000000,4,4,2500,13.25
Nugegoda,55000000,4,4,3500,13
Talawatugoda,32000000,4,3,3150,9.2
Dehiwala,46000000,4,4,3200,16
Kesbewa,10500000,3,2,1500,8.3
Talawatugoda,33500000,5,4,3800,7.8
Malabe,21000000,4,4,2800,7.5
Kesbewa,13000000,4,3,1600,11.5
Piliyandala,21000000,4,3,2200,7
Kesbewa,10000000,2,2,1240,6
Piliyandala,11800000,3,2,1500,6.5
Mount Lavinia,30000000,4,3,5000,12
Dehiwala,95000000,6,5,4500,25
Homagama,17000000,4,3,3000,16.25
Maharagama,42000000,5,3,3968,13.64
Hanwella,16900000,3,2,2700,28
Talawatugoda,13500000,4,3,1850,7
Dehiwala,40000000,5,5,4300,12.5
Talawatugoda,35000000,4,4,3000,8.8
Piliyandala,22000000,4,4,1130,8.3
Colombo 6,60000000,5,5,3500,8.6
Rajagiriya,22000000,5,2,2723,10
Talawatugoda,45000000,4,4,4000,12
Kottawa,14000000,3,2,1288,8
Kaduwela,16000000,3,3,2200,6.8
Battaramulla,16500000,3,2,2200,7.1
Athurugiriya,8300000,2,1,1600,12
Kottawa,18000000,5,4,2880,7.8
Hanwella,15000000,3,1,2034,14.7
Athurugiriya,19000000,4,4,2400,8
Maharagama,15500000,4,2,1300,6.8
Malabe,30000000,5,4,3500,16
Kottawa,14000000,3,1,1950,18.5
Kaduwela,19000000,4,2,2000,14
Athurugiriya,4600000,2,1,1144,10
Colombo 5,6300000,2,1,1000,6.9
Battaramulla,30000000,4,2,2200,13
Kottawa,20000000,4,4,2500,8
Ratmalana,18000000,3,2,2450,10
Nugegoda,75000000,5,4,4850,21.5
Kaduwela,6700000,3,1,1200,12
Kottawa,90000000,4,4,4200,40
Kesbewa,6900000,2,1,1000,9.3
Colombo 5,80000000,3,2,3000,20
Battaramulla,42000000,5,3,2800,15
Malabe,35000000,6,6,3800,12
Mount Lavinia,21000000,4,3,1750,4
Kottawa,26000000,4,2,2700,13
Nawala,130000000,5,4,6000,22.5
Maharagama,27500000,4,4,2000,8
Athurugiriya,7900000,3,2,1500,6
Colombo 5,10000000,3,1,1500,10
Nugegoda,29000000,4,3,2800,8.33
Talawatugoda,13800000,4,3,1880,6.8
Malabe,12800000,3,3,1300,7.9
Malabe,16200000,4,1,1800,13.5
Malabe,24000000,4,4,2900,7
Malabe,21000000,4,4,2450,7
Malabe,18000000,4,4,2200,7
Piliyandala,12500000,4,2,1750,6.5
Malabe,46000000,4,4,3500,11.8
Nugegoda,21000000,3,3,1300,17
Pannipitiya,18000000,3,3,2700,14
Kottawa,12500000,3,3,1650,8.5
Kottawa,16500000,3,2,2027,14.3
Homagama,34000000,4,1,2000,60
Nugegoda,59500000,7,5,5200,12.5
Athurugiriya,9975000,4,2,2200,11.23
Talawatugoda,32500000,4,4,3500,11
Pannipitiya,13000000,3,3,1500,10.7
Malabe,22500000,4,4,2800,10
Malabe,33000000,6,5,3900,12
Malabe,16000000,3,3,1600,10
Malabe,11000000,3,3,1300,6.5
Malabe,23000000,4,4,2800,9
Athurugiriya,13500000,3,3,1650,10
Malabe,105000000,5,5,6600,40
Kottawa,32500000,6,2,3000,15
Kohuwala,30000000,4,2,2600,11
Pannipitiya,16000000,5,3,2000,11.5
Colombo 10,7500000,3,2,1200,4.4
Kottawa,14000000,3,2,1288,8
Maharagama,18000000,2,2,1500,7
Maharagama,22000000,4,3,2850,8
Athurugiriya,18000000,4,2,2537,6.3
Nugegoda,32000000,3,2,2000,6.1
Kottawa,26000000,4,2,2700,13
Kottawa,10000000,2,1,700,7.5
Angoda,18500000,4,1,3000,18.44
Talawatugoda,30000000,3,3,2500,11
Nugegoda,42000000,5,4,3455,12.25
Piliyandala,7200000,3,2,2500,11.5
Kotte,127500000,5,4,9000,18
Kotte,39000000,5,5,4000,10
Malabe,21500000,4,3,2850,6
Athurugiriya,8000000,2,2,1800,6
Battaramulla,12500000,3,3,1200,7
Boralesgamuwa,22000000,4,2,1100,13
Dehiwala,80000000,9,4,5000,20
Malabe,18000000,4,4,2200,7
Piliyandala,11000000,4,2,1638,6.8
Boralesgamuwa,25000000,5,3,2725,12
Piliyandala,8700000,2,2,1250,6
Piliyandala,16000000,4,2,2100,6
Kesbewa,16000000,4,2,2100,6
Kesbewa,8700000,2,2,1250,6
Mount Lavinia,56000000,9,7,4500,10
Battaramulla,29000000,4,4,3000,6
Malabe,21000000,4,4,2450,7
Malabe,30000000,4,4,2900,8
Malabe,19000000,3,3,2400,10
Malabe,20000000,4,4,2500,10
Athurugiriya,11000000,3,3,1400,9
Kottawa,10000000,2,1,700,7.5
Malabe,33000000,6,6,3800,12
Malabe,24000000,4,4,2900,7
Athurugiriya,27000000,5,4,5480,12.8
Kottawa,27000000,5,4,5408,12.8
Battaramulla,16500000,3,2,2200,7.1
