,Location,Price,Beds,Baths,House Size,Land Size
279,"Boralesgamuwa, Colombo",21000000,4,2,"2,500.0 sqft",16.0 perches
280,"Malabe, Colombo",21000000,4,4,"2,800.0 sqft",7.5 perches
281,"Malabe, Colombo",51000000,3,4,"4,000.0 sqft",27.1 perches
282,"Athurugiriya, Colombo",8000000,2,1,"1,200.0 sqft",10.0 perches
283,"Malabe, Colombo",22500000,4,4,"2,800.0 sqft",8.0 perches
284,"Malabe, Colombo",18000000,4,4,"2,450.0 sqft",7.0 perches
285,"Malabe, Colombo",42500000,5,3,"3,500.0 sqft",17.0 perches
286,"Malabe, Colombo",21500000,4,3,"2,850.0 sqft",6.0 perches
287,"Malabe, Colombo",21000000,4,3,"2,850.0 sqft",7.0 perches
288,"Maharagama, Colombo",42000000,5,3,"4,100.0 sqft",14.3 perches
289,"Malabe, Colombo",21000000,4,4,"2,850.0 sqft",7.5 perches
290,"Malabe, Colombo",24000000,5,4,"2,800.0 sqft",10.25 perches
291,"Athurugiriya, Colombo",18000000,4,4,"2,200.0 sqft",8.0 perches
292,"Malabe, Colombo",20000000,4,3,"2,500.0 sqft",10.0 perches
293,"Malabe, Colombo",22500000,4,4,"2,850.0 sqft",8.0 perches
294,"Malabe, Colombo",24000000,4,4,"2,900.0 sqft",7.0 perches
295,"Piliyandala, Colombo",12500000,4,2,"1,750.0 sqft",6.5 perches
296,"Malabe, Colombo",19000000,3,3,"2,400.0 sqft",10.0 perches
297,"Malabe, Colombo",11800000,3,3,"1,500.0 sqft",8.0 perches
298,"Malabe, Colombo",21000000,4,4,"2,450.0 sqft",7.0 perches
299,"Malabe, Colombo",30000000,4,3,315.0 sqft,6.0 perches
300,"Talawatugoda, Colombo",34000000,4,4,"3,300.0 sqft",8.0 perches
301,"Talawatugoda, Colombo",21500000,4,3,"2,200.0 sqft",6.5 perches
302,"Malabe, Colombo",19500000,4,4,"2,750.0 sqft",10.5 perches
303,"Malabe, Colombo",21500000,4,3,"2,200.0 sqft",6.5 perches
304,"Malabe, Colombo",16000000,3,3,"1,600.0 sqft",10.0 perches
305,"Malabe, Colombo",18000000,3,3,"2,300.0 sqft",6.5 perches
306,"Nugegoda, Colombo",88000000,4,5,"3,000.0 sqft",16.0 perches
307,"Malabe, Colombo",19500000,3,3,"2,400.0 sqft",8.6 perches
308,"Malabe, Colombo",19500000,4,3,"2,250.0 sqft",6.5 perches
309,"Kotte, Colombo",6900000,2,1,650.0 sqft,3.5 perches
310,"Athurugiriya, Colombo",8700000,3,1,"1,100.0 sqft",6.0 perches
311,"Malabe, Colombo",9865000,3,3,"1,905.0 sqft",3.5 perches
312,"Battaramulla, Colombo",25000000,4,3,"3,000.0 sqft",10.0 perches
313,"Athurugiriya, Colombo",13400000,3,3,"1,750.0 sqft",7.0 perches
314,"Malabe, Colombo",18000000,3,3,"1,800.0 sqft",7.13 perches
315,"Malabe, Colombo",23000000,4,4,"2,300.0 sqft",11.0 perches
316,"Malabe, Colombo",19500000,4,3,"2,850.0 sqft",7.5 perches
317,"Piliyandala, Colombo",13000000,4,2,"1,600.0 sqft",11.5 perches
318,"Malabe, Colombo",22500000,5,4,"2,850.0 sqft",10.0 perches
319,"Kesbewa, Colombo",11000000,3,2,"1,600.0 sqft",8.3 perches
320,"Malabe, Colombo",31000000,5,4,"3,800.0 sqft",7.5 perches
321,"Malabe, Colombo",28800000,6,4,"2,850.0 sqft",12.0 perches
322,"Piliyandala, Colombo",60000000,6,4,"4,500.0 sqft",11.0 perches
323,"Kohuwala, Colombo",33000000,4,4,"2,900.0 sqft",8.0 perches
324,"Homagama, Colombo",9300000,3,3,"1,410.0 sqft",10.5 perches
325,"Kolonnawa, Colombo",7500000,2,2,"1,127.0 sqft",2.5 perches
326,"Kolonnawa, Colombo",19000000,6,3,"2,230.0 sqft",5.5 perches
327,"Rajagiriya, Colombo",7500000,3,2,"1,500.0 sqft",3.0 perches
328,"Dehiwala, Colombo",48000000,4,4,"3,300.0 sqft",11.5 perches
329,"Colombo 5, Colombo",260000000,4,4,"5,000.0 sqft",20.1 perches
330,"Piliyandala, Colombo",16500000,4,3,"2,500.0 sqft",13.0 perches
331,"Nugegoda, Colombo",15000000,2,1,"1,400.0 sqft",7.5 perches
332,"Piliyandala, Colombo",68000000,5,4,"3,600.0 sqft",9.5 perches
333,"Kotte, Colombo",55000000,10,5,"3,500.0 sqft",12.0 perches
334,"Kottawa, Colombo",19000000,4,4,"2,620.0 sqft",8.0 perches
335,"Moratuwa, Colombo",3900000,3,2,"2,000.0 sqft",15.0 perches
336,"Piliyandala, Colombo",8700000,2,2,"1,250.0 sqft",6.0 perches
337,"Athurugiriya, Colombo",16000000,4,3,"2,200.0 sqft",7.0 perches
338,"Talawatugoda, Colombo",12000000,3,2,"1,100.0 sqft",5.1 perches
339,"Ratmalana, Colombo",6300000,2,1,600.0 sqft,1.0 perches
340,"Piliyandala, Colombo",15900000,6,3,"2,750.0 sqft",8.5 perches
341,"Athurugiriya, Colombo",18000000,4,4,"2,200.0 sqft",8.0 perches
